prep_use_pca,prep_pca_components,prep_normalization,svm_kernel,svm_C,cv_mean,cv_std,test_score,training_time,svm_gamma,svm_degree,svm_coef0
False,,standard,rbf,5.0,0.35200000000000004,0.005887840577551903,0.4175,17.101510286331177,auto,,
False,,standard,rbf,5.0,0.34,0.011313708498984745,0.3725,17.196558237075806,0.001,,
False,,standard,rbf,5.0,0.11666666666666665,0.0009428090415820576,0.12,17.178423404693604,0.01,,
False,,standard,rbf,5.0,0.10933333333333334,0.0009428090415820641,0.1175,17.943047523498535,0.1,,
False,,standard,rbf,5.0,0.11266666666666668,0.0009428090415820641,0.095,17.71778964996338,1,,
False,,standard,rbf,5.0,0.10933333333333334,0.0009428090415820641,0.1125,17.570141792297363,10,,
False,,standard,rbf,10.0,0.3713333333333333,0.011585431464655188,0.395,17.291889190673828,scale,,
False,,standard,rbf,10.0,0.3513333333333333,0.006182412330330475,0.4025,17.243700742721558,auto,,
False,,standard,rbf,10.0,0.34800000000000003,0.0268824602048746,0.355,17.330791234970093,0.001,,
False,,standard,rbf,10.0,0.12,0.0,0.085,17.52807092666626,0.01,,
False,,standard,rbf,10.0,0.112,0.0,0.12,17.45913529396057,0.1,,
False,,standard,rbf,10.0,0.114,0.0,0.105,18.173434257507324,1,,
False,,standard,rbf,10.0,0.10866666666666668,0.0009428090415820641,0.105,18.05103588104248,10,,
False,,standard,rbf,50.0,0.35666666666666663,0.005249338582674546,0.41,16.968204021453857,scale,,
False,,standard,rbf,50.0,0.35333333333333333,0.017461067804945052,0.37,16.34824538230896,auto,,
False,,standard,rbf,50.0,0.342,0.021354156504062614,0.38,17.666003465652466,0.001,,
False,,standard,rbf,50.0,0.11533333333333334,0.0009428090415820641,0.08,17.024538278579712,0.01,,
False,,standard,rbf,50.0,0.11333333333333334,0.0009428090415820641,0.1,17.555874347686768,0.1,,
False,,standard,rbf,50.0,0.11733333333333333,0.0009428090415820576,0.1025,18.63733696937561,1,,
False,,standard,rbf,50.0,0.11466666666666668,0.0009428090415820641,0.1,16.678446054458618,10,,
False,,standard,rbf,100.0,0.36199999999999993,0.009092121131323912,0.4125,16.2936851978302,scale,,
False,,standard,rbf,100.0,0.36599999999999994,0.01959591794226542,0.385,16.524343252182007,auto,,
False,,standard,rbf,100.0,0.33,0.0016329931618554536,0.35,17.59217643737793,0.001,,
False,,standard,rbf,100.0,0.11133333333333334,0.0009428090415820641,0.1,17.49302077293396,0.01,,
False,,standard,rbf,100.0,0.11066666666666668,0.0009428090415820641,0.1125,17.948001384735107,0.1,,
False,,standard,rbf,100.0,0.10933333333333334,0.0009428090415820641,0.1075,17.78717851638794,1,,
False,,standard,rbf,100.0,0.11333333333333334,0.0009428090415820641,0.09,19.070489645004272,10,,
False,,standard,poly,0.01,0.11533333333333334,0.0009428090415820641,0.1175,16.25998854637146,scale,2.0,0.0
False,,standard,poly,0.01,0.11466666666666665,0.01369509238944943,0.11,15.641321659088135,scale,2.0,0.1
False,,standard,poly,0.01,0.11466666666666665,0.0024944382578492904,0.135,16.063352584838867,scale,2.0,0.5
False,,standard,poly,0.01,0.18666666666666665,0.013695092389449423,0.2225,16.86208152770996,scale,2.0,1.0
False,,standard,poly,0.01,0.24466666666666667,0.01761312641816388,0.2925,15.402243852615356,scale,2.0,2.0
False,,standard,poly,0.01,0.11733333333333333,0.0024944382578492904,0.1025,17.652852535247803,scale,3.0,0.0
False,,standard,poly,0.01,0.11466666666666665,0.006599663291074443,0.09,16.720455408096313,scale,3.0,0.1
False,,standard,poly,0.01,0.13133333333333333,0.0041096093353126546,0.1075,17.926807165145874,scale,3.0,0.5
False,,standard,poly,0.01,0.20666666666666667,0.006798692684790377,0.22,17.479087114334106,scale,3.0,1.0
False,,standard,poly,0.01,0.30266666666666664,0.008379870059984364,0.32,16.075140476226807,scale,3.0,2.0
False,,standard,poly,0.01,0.11866666666666666,0.004714045207910314,0.09,16.898008823394775,scale,4.0,0.0
False,,standard,poly,0.01,0.11533333333333333,0.0033993463423951866,0.1,17.139578104019165,scale,4.0,0.1
False,,standard,poly,0.01,0.3473333333333333,0.01635712552851372,0.385,14.169333934783936,scale,4.0,2.0
False,,standard,poly,0.01,0.14333333333333334,0.007717224601860144,0.12,17.29819965362549,scale,4.0,0.5
False,,standard,poly,0.01,0.21866666666666668,0.008055363982396388,0.285,15.918154239654541,scale,4.0,1.0
False,,standard,poly,0.01,0.11866666666666666,0.0033993463423951866,0.1325,15.798242568969727,scale,5.0,0.0
False,,standard,poly,0.01,0.118,0.002828427124746186,0.105,16.12985873222351,scale,5.0,0.1
False,,standard,poly,0.01,0.3466666666666667,0.013888444437333097,0.3725,15.157192707061768,scale,5.0,2.0
False,,standard,poly,0.01,0.13933333333333334,0.00339934634239518,0.13,17.575069189071655,scale,5.0,0.5
False,,standard,poly,0.01,0.298,0.0032659863237109073,0.2675,16.74762988090515,scale,5.0,1.0
False,,standard,poly,0.01,0.112,0.0,0.1025,16.163938760757446,auto,2.0,0.0
False,,standard,poly,0.01,0.14666666666666664,0.03526408308116852,0.095,17.349199771881104,auto,2.0,0.1
False,,standard,poly,0.01,0.15733333333333333,0.011115554667022055,0.1725,16.6173837184906,auto,2.0,0.5
False,,standard,poly,0.01,0.134,0.0043204937989385775,0.1675,16.973095655441284,auto,2.0,1.0
False,,standard,poly,0.01,0.2066666666666667,0.00956846672960488,0.2425,16.792260885238647,auto,2.0,2.0
False,,standard,poly,0.01,0.11266666666666665,0.005249338582674539,0.1025,17.073904991149902,auto,3.0,0.0
False,,standard,poly,0.01,0.12066666666666666,0.0024944382578492965,0.1,18.181981563568115,auto,3.0,0.1
False,,standard,poly,0.01,0.132,0.005656854249492386,0.14,17.067920446395874,auto,3.0,0.5
False,,standard,poly,0.01,0.19133333333333336,0.008055363982396388,0.21,16.315879344940186,auto,3.0,1.0
False,,standard,poly,0.01,0.2826666666666667,0.024458581770458853,0.325,15.415743589401245,auto,3.0,2.0
False,,standard,poly,0.01,0.11133333333333334,0.0009428090415820641,0.0775,16.210615873336792,auto,4.0,0.0
False,,standard,poly,0.01,0.11466666666666668,0.0009428090415820641,0.12,17.44862461090088,auto,4.0,0.1
False,,standard,poly,0.01,0.13333333333333333,0.0075424723326565,0.1625,16.043638706207275,auto,4.0,0.5
False,,standard,poly,0.01,0.34600000000000003,0.03334666400106614,0.34,14.5579514503479,auto,4.0,2.0
False,,standard,poly,0.01,0.24466666666666667,0.023795424396766338,0.2325,16.368995666503906,auto,4.0,1.0
